Name,Latitude,Longitude
Roosevelt Park,41.8681559199859,-87.6299143951238
Plymouth Pool,41.8684353154434,-87.6279880574369
S. Loop Elementary,41.8667714166997,-87.6287528515512
Jones Park,41.8661065764287,-87.6289620806268
FFC South Loop,41.8679707048321,-87.6272555106971
Trader Joe’s,41.8676418855482,-87.6256374751006
Jewel-Osco,41.8666941186862,-87.6263006229582
Kai Sushi,41.8660347544519,-87.6271150014213
